IST_Date,IST_Time,Entry,High,Low,AI_Score,SL,TP,Result
2026-01-13,01:15:00,90140.00,90517.50,90043.50,0.72,89934.86,90447.71,WIN
2026-01-14,16:15:00,94950.50,95203.50,94913.50,0.66,94485.45,95648.08,WIN
2026-01-14,16:30:00,94937.00,95148.00,94937.00,0.74,94475.02,95629.97,WIN
2026-01-15,05:00:00,96695.50,97028.50,96675.50,0.65,95894.91,97896.38,LOSS
2026-01-17,09:30:00,95301.00,95316.50,95199.00,0.73,94934.28,95851.08,PENDING
2026-01-17,12:00:00,95365.00,95446.50,95365.00,0.75,95105.24,95754.65,LOSS
2026-01-18,17:45:00,95096.50,95096.50,95066.00,0.67,94970.32,95285.78,LOSS
2026-01-18,18:45:00,94955.50,95000.50,94955.50,0.68,94826.16,95149.50,WIN
2026-01-19,01:30:00,95063.00,95181.00,95063.00,0.70,94889.05,95323.93,LOSS
2026-01-19,03:45:00,95104.00,95106.00,95058.00,0.68,94928.59,95367.11,WIN
2026-01-19,04:30:00,95129.00,95209.00,95124.50,0.74,94956.00,95388.50,WIN
2026-01-19,05:00:00,95158.00,95204.00,95125.50,0.70,94987.39,95413.91,WIN
2026-01-19,10:45:00,93602.50,94361.50,93536.50,0.69,93180.79,94235.07,LOSS
2026-01-19,11:00:00,92326.50,93411.00,92125.00,0.70,91723.84,93230.49,WIN
2026-01-19,11:15:00,92621.00,92673.00,92093.00,0.66,91978.53,93584.71,PENDING
2026-01-19,15:00:00,92545.50,92671.50,92527.00,0.68,92061.54,93271.44,WIN
2026-01-19,20:45:00,92958.50,92999.00,92882.00,0.70,92607.02,93485.72,PENDING
2026-01-19,21:15:00,92919.00,92990.00,92903.50,0.68,92580.01,93427.49,PENDING
2026-01-19,21:30:00,92949.00,92950.00,92865.50,0.70,92622.15,93439.28,PENDING
2026-01-19,21:45:00,92979.50,92984.50,92894.50,0.69,92663.14,93454.04,PENDING
2026-01-19,23:00:00,92971.50,93111.50,92964.50,0.65,92668.85,93425.48,PENDING
2026-01-20,00:30:00,92995.50,93058.00,92880.00,0.71,92695.06,93446.17,PENDING
